"table_schema","table_name","column_name","data_type","is_nullable","column_default"
"public","album_tracks","id","uuid","NO","gen_random_uuid()"
"public","album_tracks","user_id","uuid","YES",""
"public","album_tracks","album_id","text","NO",""
"public","album_tracks","track_number","integer","YES",""
"public","album_tracks","name","text","NO",""
"public","album_tracks","duration_ms","integer","YES",""
"public","album_tracks","artist_name","text","YES",""
"public","album_tracks","preview_url","text","YES",""
"public","album_tracks","external_url","text","YES",""
"public","album_tracks","is_playable","boolean","YES","true"
"public","album_tracks","service","text","NO",""
"public","album_tracks","created_at","timestamp with time zone","NO","timezone('utc'::text, now())"
"public","album_tracks","updated_at","timestamp with time zone","NO","timezone('utc'::text, now())"
"public","playlist_syncs","id","uuid","NO","gen_random_uuid()"
"public","playlist_syncs","user_id","uuid","YES",""
"public","playlist_syncs","source_playlist","jsonb","NO",""
"public","playlist_syncs","target_playlist","jsonb","NO",""
"public","playlist_syncs","sync_frequency","USER-DEFINED","NO",""
"public","playlist_syncs","sync_interval","integer","YES",""
"public","playlist_syncs","last_synced","timestamp with time zone","YES",""
"public","playlist_syncs","next_sync","timestamp with time zone","NO",""
"public","playlist_syncs","last_error","jsonb","YES",""
"public","playlist_syncs","sync_enabled","boolean","YES","true"
"public","playlist_syncs","created_at","timestamp with time zone","NO","timezone('utc'::text, now())"
"public","playlist_syncs","updated_at","timestamp with time zone","NO","timezone('utc'::text, now())"
"public","profiles","id","uuid","NO",""
"public","profiles","display_name","text","YES",""
"public","profiles","email","text","YES",""
"public","profiles","avatar_url","text","YES",""
"public","profiles","updated_at","timestamp with time zone","YES",""
"public","profiles","created_at","timestamp with time zone","YES","timezone('utc'::text, now())"
"public","transfers","id","uuid","NO","gen_random_uuid()"
"public","transfers","user_id","uuid","NO",""
"public","transfers","source_service","text","NO",""
"public","transfers","destination_service","text","NO",""
"public","transfers","status","text","NO",""
"public","transfers","metadata","jsonb","YES",""
"public","transfers","error","text","YES",""
"public","transfers","created_at","timestamp with time zone","NO","timezone('utc'::text, now())"
"public","transfers","updated_at","timestamp with time zone","NO","timezone('utc'::text, now())"
"public","transfers","completed_at","timestamp with time zone","YES",""
"public","transfers","tracksCount","smallint","YES",""
"public","user_albums","id","uuid","NO","uuid_generate_v4()"
"public","user_albums","user_id","uuid","YES",""
"public","user_albums","service","USER-DEFINED","NO",""
"public","user_albums","album_id","text","NO",""
"public","user_albums","name","text","NO",""
"public","user_albums","artist_name","text","NO",""
"public","user_albums","release_date","text","YES",""
"public","user_albums","image_url","text","YES",""
"public","user_albums","tracks","integer","YES",""
"public","user_albums","external_url","text","YES",""
"public","user_albums","synced_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","user_albums","created_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","user_albums","updated_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","user_albums","album_type","text","YES","'album'::text"
"public","user_playlists","id","uuid","NO","uuid_generate_v4()"
"public","user_playlists","user_id","uuid","YES",""
"public","user_playlists","service","USER-DEFINED","NO",""
"public","user_playlists","playlist_id","text","NO",""
"public","user_playlists","name","text","NO",""
"public","user_playlists","description","text","YES",""
"public","user_playlists","image_url","text","YES",""
"public","user_playlists","tracks","integer","YES",""
"public","user_playlists","owner_id","text","YES",""
"public","user_playlists","owner_name","text","YES",""
"public","user_playlists","is_public","boolean","YES","true"
"public","user_playlists","external_url","text","YES",""
"public","user_playlists","synced_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","user_playlists","created_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","user_playlists","updated_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"public","user_services","id","uuid","NO","gen_random_uuid()"
"public","user_services","user_id","uuid","NO",""
"public","user_services","service","USER-DEFINED","NO",""
"public","user_services","access_token","text","NO",""
"public","user_services","refresh_token","text","YES",""
"public","user_services","expires_at","timestamp with time zone","YES",""
"public","user_services","created_at","timestamp with time zone","YES","timezone('utc'::text, now())"
"public","user_services","updated_at","timestamp with time zone","YES","timezone('utc'::text, now())"
"public","user_services","music_user_token","text","YES",""
"public","user_services","synced_at","timestamp with time zone","YES",""